,CASH,CASH_yield
1981-03-06,1.1300908701342427,0.0003975342528460777
1981-03-09,1.132085566660639,0.0011745205448098377
1981-03-10,1.133417906021407,0.0003879452012989619
1981-03-11,1.1342169974079184,0.0003832876649621415
1981-03-12,1.1360235435002262,0.0003813698651039437
1981-03-13,1.138840140969484,0.00037424657116197563
1981-03-16,1.1410736520420954,0.0010857534277929019
1981-03-17,1.1418495226071097,0.00035671234130859377
1981-03-18,1.1449357079764544,0.0003547945153223325
1981-03-19,1.1458051968699046,0.0003410958851853462
1981-03-20,1.1461869205192123,0.00033863012758019855
1981-03-23,1.1448013353614164,0.0010158903827405955
1981-03-24,1.1451436778992947,0.0003515068472248234
1981-03-25,1.1455940470151758,0.0003517808260982984
1981-03-26,1.1452373753328509,0.0003515068472248234
1981-03-27,1.1450468393058812,0.0003553424730692824
1981-03-30,1.1488441973465215,0.0010750684868799495
1981-03-31,1.149991513257174,0.0003452054899032802
1981-04-01,1.1508651337601175,0.0003413698640588212
1981-04-02,1.1501119669196158,0.0003389041064536735
1981-04-03,1.1483959317540227,0.00034465753215633024
1981-04-06,1.1440740215193628,0.0010660274192078472
1981-04-07,1.1464880595176221,0.0003835616438356165
1981-04-08,1.1467489258895502,0.0003734246606696142
1981-04-09,1.1480849472024304,0.00037424657116197563
1981-04-10,1.1479654563862174,0.00036958903482515516
1981-04-13,1.1482085748269242,0.0011169863139113335
1981-04-14,1.1508420901802503,0.0003775342392594847
1981-04-15,1.1495877395024612,0.00036630136672764606
1981-04-16,1.149420812293131,0.00037479452890892557
1981-04-20,1.1513477153247413,0.0015112328725318386
1981-04-21,1.1522601114261928,0.0003767123287671233
1981-04-22,1.1531166204346857,0.00037424657116197563
1981-04-23,1.1532154731944266,0.0003720547924303029
1981-04-24,1.1514312044129276,0.0003736986395430891
1981-04-27,1.1515060417071312,0.0011547945362247831
1981-04-28,1.1513594176864812,0.000391232869396471
1981-04-29,1.1516459388462077,0.0003942465847485686
1981-04-30,1.1497362276581085,0.00039506849524093
1981-05-01,1.1512156096055877,0.0004071232782651301
1981-05-04,1.1454433915375377,0.0012057534309282694
1981-05-05,1.142766726857847,0.00043863014325703657
1981-05-06,1.143755506887945,0.00045506850987264556
1981-05-07,1.1439500493068968,0.0004526027522674979
1981-05-08,1.1449918449619048,0.00045424657325222065
1981-05-11,1.1459424096378459,0.001354520510320794
1981-05-12,1.1446081847445297,0.0004545205521256957
1981-05-13,1.1447639258597788,0.00046410960367281143
1981-05-14,1.147087503719426,0.0004660274035310092
1981-05-15,1.1482407576863998,0.00045671233085736837
1981-05-18,1.1516425942390645,0.0013602739098953873
1981-05-19,1.1502329975170549,0.000443835637340807
1981-05-20,1.1505361313659563,0.00045369861550527077
1981-05-21,1.1489322914460882,0.0004547945309991706
1981-05-22,1.1511578814237975,0.0004657534246575343
1981-05-26,1.1572351421186853,0.0018279452389233734
1981-05-27,1.1573052771408834,0.00043643836452536387
1981-05-28,1.16119173447965,0.00043863014325703657
1981-05-29,1.163186197239016,0.0004213698661490662
1981-06-01,1.1624516695292193,0.001241095921764635
1981-06-02,1.161914952400019,0.00042465753424657536
1981-06-03,1.1626774524807428,0.00042986300220228225
1981-06-04,1.1622534070117905,0.0004284931600910344
1981-06-05,1.1626427690539671,0.00043315069642785477
1981-06-08,1.1676483083851876,0.0013010958841402234
1981-06-09,1.1690507306123958,0.0004158904193198844
1981-06-10,1.1712675632270526,0.00041123288298306403
1981-06-11,1.1724421899599726,0.0004024657419283096
1981-06-12,1.1730674129301482,0.00039890412108538906
1981-06-15,1.1788948943768982,0.0011942465533948923
1981-06-16,1.1792764137070642,0.0003758904182747619
1981-06-17,1.1769062886273671,0.0003761643710201734
1981-06-18,1.17319878663724,0.00039013698003063463
1981-06-19,1.1743842939274978,0.000410958904109589
1981-06-22,1.1785943095449136,0.0012221917714158148
1981-06-23,1.1782822936300952,0.00039342464812814373
1981-06-24,1.1776463184323698,0.0003972602739726027
1981-06-25,1.180642687805451,0.00040273972080178463
1981-06-26,1.1817033271352957,0.00039013698003063463
1981-06-29,1.1841057297529598,0.0011613698724198015
1981-06-30,1.1826726483318604,0.00038191779672283013
1981-07-01,1.1810902618170152,0.000391232869396471
1981-07-02,1.1824939863076165,0.00040136985256247325
1981-07-06,1.185061611402742,0.0015868492649026111
1981-07-07,1.182543082270029,0.00039315069538273223
1981-07-08,1.1825239557615927,0.00040794521488555493
1981-07-09,1.1821782775003853,0.00041041094636263913
1981-07-10,1.1847536872587627,0.0004145205510805731
1981-07-13,1.186998596517183,0.0012123287671232876
1981-07-14,1.186472114112697,0.0004000000104512254
1981-07-15,1.1887718070715267,0.00040493149953345727
1981-07-16,1.1888480045494774,0.00039589040573329145
1981-07-17,1.189813399537943,0.00039780823171955265
1981-07-20,1.185297409702238,0.0011860274223432147
1981-07-21,1.1845854484538418,0.00042465753424657536
1981-07-22,1.185308829623891,0.00043068493882270705
1981-07-23,1.1868015730763535,0.00042958904945687075
1981-07-24,1.1896165799773422,0.00042465753424657536
1981-07-27,1.1909055691811827,0.0012394520485237853
1981-07-28,1.190341084323086,0.00041397259333362315
1981-07-29,1.1914973404621754,0.0004191780874173935
1981-07-30,1.1937053465437357,0.0004158904193198844
1981-07-31,1.1941851153118106,0.000407397257138605
1981-08-03,1.1921339196362353,0.0012221917714158148
1981-08-04,1.1927442843468166,0.00042465753424657536
